,Q,A
611,"Mr. Speaker, when it comes to natural resources, the government only cares about short-term profit. \lineBreak By way of evidence, the  \lineBreak Why is the ","Mr. Speaker, as I said before, our government is concentrating on what is important to Canadians, and that is jobs and economic growth. As I mentioned before, the oil sands and their development are responsible right now for almost 400,000 jobs across this country. That is in every area and region of this country, and that number is expected to grow. That is how many jobs the opposition says “no” to when it bashes the oil sands. \lineBreak  We know the importance of getting the environmental challenges right. That is why we are investing in new technology. We are working with industry and the provinces to ensure the environment is protected as the economy grows."
612,"Mr. Speaker, on a point of order, arising out of question period, the hon. member for  \lineBreak I do not want to attribute motives, but it would appear that what the member for  \lineBreak Now it seems to be a case of mixed members or perhaps mistaken identity. I would like to give the member for  \lineBreak I know the member would not want to leave any other impression, other than the correct one, before the House.","Mr. Speaker, if the member was misquoted by me, I certainly apologize and take it back."
613,"Mr. Speaker, it would certainly be a refreshing change. \lineBreak I would like to ask a question of the  \lineBreak Mr. Speaker, what is not clear is that we have a policy with respect to sustainability. Could the minister tell us, why is it that the government has failed to develop a coherent approach on climate change, on the reduction of greenhouse gases and on producing a truly sustainable policy?","Mr. Speaker, I assure my hon. colleague that cleaner air, cleaner water and active stewardship of our great natural spaces remain key priorities of this government, even in times of fiscal restraint. \lineBreak I would inform my colleague that according to the World Health Organization, Canada ranks third in the world in terms of air quality. This is something all Canadians can take pride in. We take pride in our regulatory approach to greenhouse gases. We are moving forward sector by sector."
614,"Mr. Speaker, the  \lineBreak Will the government listen to Canadians and think before saying yes to Keystone?","Mr. Speaker, we know that the oil sands are a proven strategic resource for Canada and that they provide jobs right across the country. The Keystone XL pipeline is going to contribute to job creation and energy security both here and in the United States. \lineBreak Our government is going to continue to promote the oil sands as a stable, secure and ethical source of energy for the world."
615,"Mr. Speaker, it is really disappointing to hear that the government has one set of rules for its oil industry friends and another set of rules for the rest of us. How else can the minister justify a project that adds more greenhouse gas emissions to the oil sands, which are already growing so fast they are overwhelming any emission savings coming from other sectors? Why the double standard? \lineBreak When will the minister finally stand up for Canadians and say no to this misguided project?","Mr. Speaker, the NDP members should stop taking the side of the extremists who want to kill Canadian jobs. They have made it clear they want to shutter new development of the oil sands. They are willing to destroy hundreds of thousands of jobs across the country.  \lineBreak They can go outside and join with those dozens of protestors, but we are going to stand with the hundreds of thousands of Canadians who depend on the oil sands."
616,"Mr. Speaker, Canadians want sustainable livelihoods for themselves and their children, not a mass export pipeline that will pour away the benefits of our natural resources while leaving us with the environmental tab. The government is out of touch with the realities facing Canadian workers. Why is the minister selling out Canadians' jobs at the expense of our environment?","Mr. Speaker, let me talk a little about jobs. The oil sands development supports right now 130,000 direct jobs. It supports 390,000 jobs across Canada today. By 2020 that number will rise to 480,000, and if the Keystone XL pipeline is approved, with the extra product that will be shipped through there, the number will rise to 620,000 jobs.  \lineBreak Why is the NDP opposed to that kind of job development?"
617,"Mr. Speaker, under this government, the National Energy Board has never worried about creating jobs in our country before approving the pipeline project. It is as though it does not think jobs in Canada are in the public interest. \lineBreak Will the minister protect Canadian jobs by ordering the National Energy Board to assess the impact of the Keystone XL pipeline on Canadian workers?","Mr. Speaker, I do not know if the member heard the last answer. Let me repeat that right now there are 130,000 direct jobs that are tied to oil sands development. There are 390,000 people across the country who rely on the oil sands and the development of them for their jobs. The number will rise to 620,000 jobs if the Keystone XL pipeline is approved.  \lineBreak Why does the NDP oppose that? It should get on board and support us as we move ahead, promote the economy and support economic recovery in this country."
618,"Mr. Speaker, arising from question period, my point of order is about a mission that I went on where I joined the armed forces on a pre-planned search and rescue mission. I know exactly what happened there. It was an exercise off the coast of Fogo Island, as well as inland. \lineBreak  The minister did say, though, in his answer that it cost $160,000 for five hours, which basically comes down to $32,000 per hour. When we said to the former parliamentary secretary that it was $32,000, he said that number was nonsense. \lineBreak I would like for the minister and the former parliamentary secretary to get together and provide information to the House about what exactly the number is.","That seems to be a continuation of debate. If the member wishes, he can take it up at the next question period."
619,"Mr. Speaker, members on this side of the House have been asking questions of the  \lineBreak Will the minister, as part of the government that rode into power on the white horse of accountability and also as a former member of a provincial government that wreaked havoc on Ontario's books, finally stand in his place and explain his actions to Canadians?","Mr. Speaker, I think Canadians would like to concentrate on some good news. \lineBreak  Let us listen to what the best  \lineBreak Let us see what the best  \lineBreak Let us see what the best "
620,"Mr. Speaker, the Canadian voters did not give the Conservatives a mandate to cut off the front-line services that protect our streets every single day. \lineBreak They are also slashing 73 Service Canada jobs in Windsor alone. These folks process employment insurance requests from across the country and just won a national service award. \lineBreak How does the Conservative member reward them? He actually gave them a pink slip and showed them the door. It is unacceptable.  \lineBreak What we have right now is money in the millions for consultants, pet projects and joyrides in jets, but cutbacks for those who help the unemployed. It is unacceptable and it has to be reversed.","Mr. Speaker, Canadians gave our government a strong mandate to complete Canada's economic recovery and return to balanced budgets. Improving the way we deliver EI services to Canadians by modernizing is one way in which we will accomplish that goal. There are no Service Canada offices closing and no impact on in-person services offered. At this time it is premature to speculate on any specific impacts to any employees.  \lineBreak Our government is committed to effective and efficient use of taxpayers' hard-earned dollars."
621,"Mr. Speaker, in his Guide for Ministers and Ministers of State, the  \lineBreak Can the ","Mr. Speaker, this government has established rules and these rules are enforced. I think that the Leader of the Opposition is talking about a specific situation. The minister responsible has answered questions a number of times in the House of Commons."
622,"Mr. Speaker, asbestos is the greatest industrial killer that the world has ever known, yet this country continues to export nearly 200,000 tonnes per year into underdeveloped nations that have virtually no health and safety protocols. \lineBreak Instead of shovelling even more corporate welfare into this made-in-Canada epidemic, why does the government not use that money for economic diversification for the asbestos region of Quebec to get it out of this deadly and dying industry?","Mr. Speaker, for more than 30 years, Canada has been arguing for the safe and controlled use of chrysotile at home and abroad and recent scientific studies clearly confirm that chrysotile can be used safely in a controlled environment."
623,"Mr. Speaker, let us try again and see if we get anything new. \lineBreak This government claims to want to create jobs by supporting the asbestos industry. In reality, it is exporting disease and death to countries that have inadequate labour health and safety standards. This position does not help the communities that are relying on a dying industry. The workers have suffered enough. \lineBreak What is this government waiting for to show real respect for these people and to develop with them a transition plan to stimulate the economy in that region?","Mr. Speaker, for more than 30 years, Canada has been arguing for the safe and controlled use of chrysotile at home and abroad, and recent scientific studies clearly confirm that chrysotile can be used safely in a controlled environment."
624,"Mr. Speaker, more tax giveaways to big oil companies do not create jobs. What does create jobs is infrastructure. Almost 60% of Montrealers are scared to drive because of crumbling concrete. Yesterday, a motion to replace the Champlain Bridge was rejected by the Conservative government. Muskoka got a $50 million slush fund, but other communities are being denied the basics. Why?","Mr. Speaker, my experience in municipal politics has taught me that municipalities have not in the past had a more committed partner than our Conservative government, led by this  \lineBreak It was our government that launched the building Canada fund and we will continue to deliver for municipalities. "
625,"Mr. Speaker, I was talking about an infrastructure plan, like the Champlain Bridge, that right now costs $30 million a year just to maintain. Cities across Canada need new bridges, new rail lines, sewage treatment plants, and other critically important projects. Investing in infrastructure makes sense.  \lineBreak We have seen the government reward its well-connected friends. When will it protect Canadians by investing in basic infrastructure?","Mr. Speaker, as my hon. colleague already knows, we will have a new infrastructure plan after 2014. That is why we trust our infrastructure investments. That is why, in the economic action plan, we invested more than ever in infrastructure. I do not understand why members of the NDP are saying that today and yet they voted against it when we set it up. "
626,"Mr. Speaker, we know that closing the Champlain Bridge would result in annual losses of $740 million. We know that the bridge must be replaced immediately to ensure the safety of Quebeckers and the health of the Canadian economy. \lineBreak Yesterday, we moved a motion proposing that the Champlain Bridge be replaced. The Conservatives rejected the motion outright. They said no to the economy and to safety. \lineBreak Why did they reject the motion? When will this government take action and build a new bridge?","Mr. Speaker, while my colleague talks about closing the Champlain Bridge, we are investing $380 million to ensure that it is safe and will continue to be operational for a long time. While the member moves motions, we are working to ensure that the people of Montreal will have a safe bridge that is in good working order for a long time to come."
627,"Mr. Speaker, the government is out of touch with the reality of Canadians when it comes to the safety of our communities. The Conservatives are playing politics with their omnibus bill on crime but they are not even aware of the cost. The job of parliamentarians is to study and debate bills but the Conservatives refuse to do so. \lineBreak Why are the Conservatives refusing to work with the NDP to improve the safety of our communities and protect our youth and the rights of victims?","Mr. Speaker, I find it interesting that the NDP always objects to spending money when it comes to fighting violent crime. Now when it comes to spending money and threatening jail time for people who do not fill out the census, the NDP does not have a problem with that, or for farmers who do not like the Wheat Board, or those who do not agree with the long gun registry. \lineBreak I am proud to be part of a party that knows where money should be spent and that is to go after violent criminals in this country, and he should be supporting that."
628,"Mr. Speaker, we have heard repeatedly, and again just now, about the cost to victims but the government will not produce any evidence of that to this Parliament. That is exactly why we need to continue the study around these claims. The Conservatives are wrong to shut down debate on a bill which we have spent less than four minutes a page debating. \lineBreak Later today, the NDP will propose fast-tracking parts of this bill; for example, parts that protect children from sexual abuse, that have already passed this Parliament once before and then proceed with a constructive debate on the rest. Will the government agree to that strategy?","Mr. Speaker, we offered to do that before, but then we got a majority and now the NDP has withdrawn that. Now he is saying that we are to leave out the part that goes after drug dealers, the people who bring drugs into this country, the people who sell drugs around schools. Nobody is going to agree to that. Let us get the whole thing passed. That is what Canadians want."
629,"Mr. Speaker, the justice minister has been silent on the cost to taxpayers of the government's massive crime bill. This is the same government that, in the last Parliament, refused to provide information to the Parliamentary Budget Officer, so he could report to Canadians how much those crime bills would cost. \lineBreak  Are the Conservatives shutting down debate because they do not want Canadians to know the facts? When will the Conservatives come clean and release the real cost of this bill?","Mr. Speaker, let me tell members who has been silent. It is the NDP on the cost to victims in this country. We never hear a question about that coming from the NDP and, to be fair, the Liberals as well. They are in on that. \lineBreak The Department of Justice estimated the cost of crime in this country is about $99 billion, of which 83% is borne by victims. If the hon. member is worried about the costs, he should start standing up for victims, just to make a change for the NDP."
630,"Mr. Speaker, I want to tell that side of the House that crime is not a political wedge issue. We believe it is a public safety issue. Once again, Conservatives refuse to answer a direct question. Canadians deserve an answer. Millions of out of work Canadians want their government to invest in job plans, not in doubling the prison budget. \lineBreak Why does the government hide behind its overused talking points instead of just telling Canadians what the real cost is of this crime bill?","Mr. Speaker, this is an investment to better protect Canadians in their homes and make them feel safer in their communities. I appreciate that is not a priority for the NDP. If members want detailed costs, look at the hundreds of pages that we tabled before the committee. That will give many hours of happy reading for NDP members, but I have a feeling that it will not convince them to start standing up for victims and law-abiding Canadians."
631,"Mr. Speaker, our government is certainly focused on jobs and the economy. We are helping to put Canadians back to work as evidenced by the 600,000 new jobs created since July 2009. However, the opposition has another agenda that will destroy Canadian jobs and put our country deeply back into a recession. \lineBreak Could the ","Mr. Speaker, the Keystone XL pipeline will create over 140,000 good, high paying jobs in Canada. The NDP has decided to stand against these jobs and ally itself with a few environmental extremists who want to shutter all oil sands development. While the NDP continues to betray its job killing agenda, our government will continue to stand with the hundreds of thousands of Canadians who will benefit from this important project."
632,"Mr. Speaker, last week, the  \lineBreak  If assessing and preventing industrial impacts on our environment are not considered basic services, then can the minister explain what he means by “basic services”?","Mr. Speaker, first of all, I would correct my hon. colleague. The Environmental Assessment Agency has not been cut by 48% and the environment remains a priority of this government even at times of fiscal restraint. As we are doing across government, we will continue to take a close look at all of our spending over the next year and the results of this examination will be revealed in the budget in the spring."
633,"Mr. Speaker, this out-of-touch government seems more concerned with American unemployment than Canadian jobs. Why else would it ignore environmental concerns on both sides of the border and ship raw bitumen on the Keystone pipeline to the Gulf coast? \lineBreak We all know it is not just oil sands bitumen that will flow through that pipeline. It is good paying Canadian jobs.  \lineBreak Will this out-of-touch government come clean about what the Keystone pipeline really means to Canadian families: a loss of good paying Canadian jobs?","Mr. Speaker, the NDP talking about jobs and the oil sands is frankly ridiculous. The NDP's former environment critic called for a moratorium on oil sands development. The Keystone XL pipeline will create over 140,000 jobs and $600 billion in economic activity. That is what the NDP is prepared to kill."
634,"Mr. Speaker, the government is not doing anything to protect Canadians' jobs in the Keystone XL project. Thousands of well-paying, quality jobs will be transferred to the United States should the project go ahead. According to a study conducted by Informetrica, tens of thousands of Canadian jobs are at stake. \lineBreak Why is this government sacrificing thousands of Canadian jobs for the sake of its relationship with the oil companies?","Mr. Speaker, the fact is that oil sands development generates over 500,000 jobs and the Keystone project will generate over 140,000 jobs across Canada. \lineBreak It is also interesting to note how the NDP does not really understand that there is no refinery capacity in Alberta. There is in Texas. It would cost over $16 billion to create refineries, rendering it uneconomical."
635,"Mr. Speaker, when it comes to defending Canadians against U.S. protectionism, the government has failed consistently. \lineBreak DFAIT officials before a committee admitted that the government had failed to take pre-emptive action against buy American, even though President Obama has been stating made in America for months. \lineBreak The WTO found United States country of origin labelling is a trade violation and yet the government makes excuses. \lineBreak When will the ","Mr. Speaker, it was actually the Liberal Party that slept through 13 long years on the trade file.  \lineBreak It was the WTO that recently pointed out that Canada's considerably expanded free trade agreement agenda marks a departure with its past practice. What practice are we referring to? It is the practice of the previous Liberal government."
636,"Mr. Speaker, the Conservative government falls short every time it is faced with American protectionism. When the United States announced its Buy American initiative in 2009, it took the Conservatives seven months to react. According to the WTO, country-of-origin labelling violates trade laws. Nevertheless, the government continues to insist that the United States is negotiating in good faith. \lineBreak When will the Conservatives realize that they have to fight American protectionism, not excuse it?","Mr. Speaker, we have stated time and again that trade is critical to Canada's long-term prosperity. We have been working very hard to impress upon our American neighbours that protectionism hurts not only Canadians, but it hurts Americans. It takes away jobs and it takes away the robustness of global trade. \lineBreak We will continue to stand up for hard-working Canadians and businesses. Why will the Liberal Party not do so?"
637,"Mr. Speaker, this government's research and development policy is pathetic, and a recent report has confirmed that. Canada ranks last among industrialized countries in terms of direct funding for research. It ranks second-last in terms of patent development and second-last in terms of the number of PhD graduates. What a failure. \lineBreak Will this government review its research and development policies to create the jobs that our economy and Canadian families so desperately need?","Mr. Speaker, I reject the premise of that question. In fact, no government in the history of our country has put so much investment into science and technology. In fact, the brain drain that we knew about years and years ago under the Liberals has been reversed under this government. \lineBreak We now have more fellowships, more internships, more Canada excellence research chairs and more Canada research chairs. We have funding for buildings and equipment. \lineBreak That is under this "
638,"Mr. Speaker, it would be great if it were true but it simply is not. \lineBreak On this side of the House, we believe in innovation, but let us see the record on the other side. We see that direct public investment in R & D is in last place in the industrialized world. Patent development is second to last. PhD graduates are second to last. That is the record of the government. It is clear that the government does not have a plan. \lineBreak  When will the government stop endangering our economy and start investing in research and development to create jobs here in Canada for Canadian families?","Mr. Speaker, first, productivity and innovation have been declining for decades, which is exactly why the  \lineBreak It is true that businesses are not doing enough, which is exactly why, if the member were paying attention, we launched a panel review into the R and  D sectors and our platform of programs. That panel will report in a couple of weeks. The hon. member should stay tuned."
639,"Mr. Speaker, today, the Standing Committee on Access to Information, Privacy and Ethics passed an important motion to investigate the questionable influence of big unions on the NDP.  \lineBreak Last week, it was revealed that the NDP received at least $85,000 from big labour unions for their convention even though such donations were banned in 2005.  \lineBreak Could the ","Mr. Speaker, this type of behaviour on behalf of the NDP is entirely unacceptable. The Elections Canada Act clearly indicates that corporate and union donations are not allowed. Political parties are required to raise money through donations from ordinary everyday Canadians. Elections Canada has been asked to investigate these sponsorships.  \lineBreak The NDP and its union friends do not need to wait for that. They can come clean with Canadians today. We do not need to go to the ethics committee. They could come clean and tell Canadians today but they are not doing it."
640,"Mr. Speaker, in February, the Conservatives gave a $75,000 accessibility grant to the Ontario Cornerstone Leadership Corporation, a front for the Ontario NDP, to install a wheelchair lift in its inaccessible party headquarters. The rules required that construction was to begin six months ago and be completed two months ago. It is obvious to anyone who walks up to the building that the project has not even started. \lineBreak Where did the money go? If the money was improperly spent, will the government demand that the money be returned to the taxpayer?","Mr. Speaker, no government has done more for Canadians with disabilities than our Conservative government. Their full participation in our economy and communities is vital to our country's success. Supporting Canadians of all abilities through the economic action plan helped create opportunities for people who otherwise would not have had them.  \lineBreak We are very proud of this program and, to date, we have supported over 600 worthy community-based projects across the country. Budget 2010 provided an additional $45 million over the next three years and will expand this program for mid-sized projects. We are doing what we need to do for Canadians with disabilities."
641,"Mr. Speaker, Canadian university graduates are being shut out of the job market at an alarming rate. A whopping one in five grads wind up with jobs on the low end of the income scale. That is more than any other OECD country. Instead of helping strengthen our economy with their degrees and skills, they are being wasted.  \lineBreak When will the government stop the inaction and come forward with a real jobs plan with real opportunities for Canadian graduates?","Mr. Speaker, we have a plan to support jobs and growth. It is the second phase of the economic action plan. It includes the small business tax credit, which is very important, and I hope members opposite will choose to support that. \lineBreak  The NDP and the Liberals voted against $1 billion in federal funding to the provinces and territories for infrastructure in 2011-12. The opposition also voted against the accelerated capital cost allowance, which would have continued over the past two years. I hope the voting behaviour will match the rhetoric."
642,"Mr. Speaker, recent statistics have shown us that the number of people smoking in this country is at historic lows. Our government takes the health and safety of Canadians seriously and we will continue our diligent work, not only to encourage more and more people to quite smoking but also to discourage young Canadians from starting this bad habit in the first place.  \lineBreak Today, the ","Mr. Speaker, I thank the member for  \lineBreak Canadians gave our government a strong mandate to continue efforts aimed at keeping our citizens healthy. Today we announced new warnings for tobacco products. The 16 new warnings cover 75% of the front and back of cigarette and little cigar packages, with eight health information messages and four toxic emission statements on the sides of the packages.  \lineBreak Our government wants to sensitize Canadians to the health challenges posed by tobacco products and we will continue to act in order to protect Canadians' health and keep our children safe."
643,"Mr. Speaker, Canada's Asia-Pacific gateway should be about more than the Conservative strategy of just shipping our raw materials overseas. \lineBreak  Last week, the president of the Asia Pacific Foundation advised the government that to be successful in expanding our trade, Canada needed to invest in human capacity building. This means investing in better language education, better training in cross-cultural communication and more support for international business education. \lineBreak Why are the Conservatives just shipping away Canadian raw materials and jobs instead of making the smart investments in Canadians that will build a foundation for expanding our trade with the region?","Mr. Speaker, the Asia-Pacific gateway is critical to Canada's long-term economic prosperity. As the demand for Canadian exports to the Asia-Pacific markets continue to grow so do the opportunities for Canadian workers and companies. We are well-positioned to take advantage of the Asia-Pacific markets so we can create economic growth, more jobs and financial security for all Canadians. "
644,"Mr. Speaker, my question is for the hon.  \lineBreak On top of recent cuts at Environment Canada, we are aware now that the whole glaciology group at Natural Resources Canada is being disbanded and dismantled. Eighty thousand years worth of climate record in the ice cores may disappear from Canadian possession. \lineBreak I would like to ask the minister if he would please reconsider and ensure that this essential science is protected and that Canada continues its world record-breaking work in this key and core area of science?","Mr. Speaker, the hon. member is misinformed. There will be no destruction of the ice cores. In fact, having provided the useful scientific input at NRCan, they will be transferred to universities where the research can continue."
645,"Mr. Speaker, I rise on a point of order. The other day in the House of Commons I raised a question and stated, “In Alberta, Jonathan Denis, the housing minister, now says that Alberta will pick up the slack where the federal government has failed”.  \lineBreak I wish to correct the record. I read the story in a media release and I verified it. He did not actually say that he would “pick up the slack”. He did say, “It didn’t sit well with me that someone who’s put their life on the line for our country was homeless”, noting no one should be homeless, but this particular case hit him hard. Further on in the media release he stated that he wanted to assist those homeless veterans. \lineBreak Even though I personally believe that issues involving veterans are federal issues, I am proud to say that the Alberta government and other governments are doing something to help these veterans.  \lineBreak I did quote Mr. Denis incorrectly and I wish to apologize to him and correct the record.",The House appreciates that. 
646,"Mr. Speaker, the  \lineBreak Will we have a job plan tomorrow?","Mr. Speaker, this government is continuing with a plan that has been a big success. That is why Canada has created many more jobs than the vast majority of industrialized countries. Obviously, we reject the NDP's proposals to increase taxes and shut down key industries in the Canadian economy. Such proposals would kill employment and this government will never agree to those kinds of NDP proposals."
647,"Mr. Speaker, the consensus among economists and business gurus is that the Canadian economy will slow down. We are facing another recession. \lineBreak The chief economist for BMO Nesbitt Burns compares the  \lineBreak Why will the ","Mr. Speaker, the government's plans are oriented toward job creation, which is why Canada has one of the best job creation records in the entire industrialized world. That is the path we will continue to pursue. \lineBreak We seek, obviously, any useful ideas from the opposition on how we can improve Canada's performance, but we will tell you that what they have proposed lately, raising taxes and shutting down key industries, are not proposals that will create jobs and not proposals that this government will ever accept."
648,"Mr. Speaker, the Conservatives' failure to act has proven to be an economic disaster for young workers. Today there are 110,000 fewer jobs for young people than before the recession, and the unemployment rate is over 14%, not counting the thousands of young people who abandoned the labour market and are now on social assistance or living on the street. Canada cannot deprive itself of its talented youth. \lineBreak Where is the Conservatives' plan to put our young people back to work?","Mr. Speaker, in the second phase of Canada's economic action plan there is a hiring credit for the 525,000 small businesses in Canada. I hope that the official opposition will support these measures to help job creation in Canada. \lineBreak We remain focused on the economy and job growth, and I welcome any useful suggestions the member opposite has."
649,"Mr. Speaker, we have seen just how out of touch the government is. Conservatives are boasting about precarious jobs, part-time jobs, jobs that pay just half of what they did before the recession because of Conservative economic mismanagement.  \lineBreak Canada has lost too many good, high-skilled, highly paid manufacturing jobs. TD Bank says these workers, if they can find work, are now paid an average of $10,000 less a year. \lineBreak Where is the Conservative plan to create good jobs. Where is the jobs plan?","Mr. Speaker, the plan is working.  \lineBreak I hear what the member opposite asserts; of course, it is not accurate. We have created about 600,000 net new jobs in the Canadian economy in past couple of years, of which 80% are full-time jobs for Canadians.  \lineBreak This is just the opposite of what the official opposition, the NDP, suggests. What the NDP suggests is a brand new tax increase of $10 billion on Canadian business to kill jobs in the Canadian economy."
650,"Mr. Speaker, Dr. Sherry Cooper of BMO Nesbitt Burns said recently in her newsletter: \lineBreak She goes on to say: \lineBreak I wonder if the ","Mr. Speaker, Canada's economic action plan and Canada's fiscal approach have been praised by observers around the world. \lineBreak It is not as the leader of the Liberal Party would suggest. In fact, we are running a very expansionary fiscal policy right now, but we are obviously undertaking good management and some modest savings to ensure that as the economy recovers, we will in fact balance our budget and retain our fiscal advantage."
651,"Mr. Speaker, the position I just shared is not my personal view. It is the position clearly expressed by Ms. Cooper, and one that is shared by many other observers who see that this government's activities are doing nothing to help economic growth.  \lineBreak We are not asking for a response for us, but rather for those who are talking about the contraction in the United States and in Europe and the problems that exist in Canada. Why can we not get a different answer from the government?","Mr. Speaker, the vast majority of analysts who have examined our plan support our approach. It is a very expansionary approach now, with an expansionary fiscal policy. Clearly, we need to save money in order to achieve a balanced budget once the economy begins to grow again. It is crucial that we retain our fiscal advantage."
652,"Mr. Speaker, I rise on a point of order. In the course of question period today, you made a point of saying that someone could not do indirectly what he or she is not allowed to do directly.  \lineBreak In that context, Mr. Speaker, I wonder if you would take the time to have a look at Standing Order 31 in the name of the member for  \lineBreak  I wonder if you would have a look at the record, Mr. Speaker.",I will examine the transcript and get back to the House if necessary.
653,"Mr. Speaker, the minister, despite being asked multiple times, has still not said what he considers to be a core program, so perhaps the  \lineBreak For the ","Mr. Speaker, as my colleague knows, our government does recognize the burden of cancer and the effect that it has on lives and the families who live with loved ones who have this horrible disease. That is why our government is supporting cancer control and prevention efforts, working with provincial and territorial governments as well as stakeholders from across Canada to reduce the burden of cancer. We are renewing $250 million over five years for the Canadian Partnership Against Cancer to continue its excellent work."
654,"Mr. Speaker, yesterday, the  \lineBreak Can the ","Mr. Speaker, as I have said repeatedly, we have an economic action plan. That is why we received a mandate from Canadians. Clearly, we are concerned about the developments in Europe and elsewhere, but at the same time, over 600,000 jobs have been created in Canada. That is one of the best records in the industrialized world. That is the path we will continue to take."
655,"Mr. Speaker, yesterday, at the Standing Committee on Finance, economists said that the  \lineBreak The Prime Minister needs to realize this. He needs to realize that his economic strategy has created a structural deficit, the worst deficit in the history of the country. We are now facing a second recession under his watch. \lineBreak Why does the Prime Minister insist on pursuing this course of action?","Mr. Speaker, this question does not make sense. The hon. member is advocating that we increase the deficit. We want to reduce the deficit. The government's position is clear. We have a major deficit but it is still much smaller than that of other countries, and we will ensure that the budget is balanced while the economy continues to grow."
656,"Mr. Speaker, it is now 111 days since the Muskoka  \lineBreak The minister personally intervened and moved it out of the Muskoka slush fund and said he would get the funding elsewhere. Now the documents show that this gave the three amigos--the mayor, the hotel manager and the minister--a much larger pot of goodies. \lineBreak Will the minister explain why he personally intervened? Will he explain why this project is now the subject of a police investigation?","Mr. Speaker, the facts on this issue have not changed. This has been thoroughly aired.  \lineBreak I say to my friend opposite that of the 32 projects I approved under this initiative, not one involved an arena in Gravenhurst."
657,"Mr. Speaker, who was approving the money then? This is about a minister who misused the taxpayers' dollars, used his BlackBerry to get a friend a job, used his office to run a slush fund, and relied on the  \lineBreak The Gravenhurst project blew the budget. People were fired. The cops were called in. Does the minister think that is an appropriate way to abuse the public trust? It has been 111 days. Will he please stand and take accountability for his actions?","Mr. Speaker, let me be clear. Not one G8 project involved the construction of a hockey arena in the town of Gravenhurst, not one of the 32 projects. I cannot be any clearer than that. The member opposite has the right to his own opinion, but he certainly does not have the right to create his own facts."
658,"Mr. Speaker, speaking in Lima, Peru, in November 2009, the  \lineBreak I would like to ask the  \lineBreak What will it take for the government to change course once again?","Mr. Speaker, the government continues to run a significant deficit, as is appropriate at these times, but we are taking steps to ensure the budget will balance as the economy grows. \lineBreak The difference between our position and the position of the hon. member, especially when he had premier responsibilities, was that no matter what circumstances we have, his position was we always increase the deficit. If times are good, we increase the deficit. If times are bad, we increase the deficit, and in the times in between, we increase the deficit. \lineBreak Obviously, we use a steadier and more prudent judgment in managing the economy."
659,"Mr. Speaker, over the last five years, the government raised spending, on average, by 18%, by $70 billion. The  \lineBreak The question the ","Mr. Speaker, the member gets on his feet to say, “You're spending too much money. Why don't you spend more?” That is the kind of position we have come to anticipate from the member. Of course, this government's economic record has been mandated by the Canadian people and praised by analysts around the world.  \lineBreak Frankly, everybody in this country has the right to lecture the hon. member about how he managed the Ontario economy."
660,"Mr. Speaker, this government, which is out of touch with reality, continues to boast about its record, but its failure to act speaks volumes. The job situation is worse than it is letting on. Since the recession, 200,000 more Canadians do not have jobs. \lineBreak When will this minister stop twisting the figures? When will this out-of-touch government take action and start creating jobs?","Mr. Speaker, the figure is very clear. The figure is 600,000 net new jobs. Those are the jobs that have been created in the Canadian economy since the end of the recession in July 2009. \lineBreak It is also clear, if the member opposite wants to look at the figures in the G7, that is the best job creation rate in the G7 since the end of the recession. \lineBreak Can we do more? Yes. Are we doing more? Yes.  \lineBreak There is a hiring credit for small business. It will be in the budget bill next week. I hope the member opposite votes for it."
661,"Mr. Speaker, the government likes to talk about its job creation record, but the numbers just do not add up, so here are the facts. There are 500,000 more people available for work since the recession. Only half that number of jobs have been recovered. That is one job for every two unemployed people, nothing to brag about. \lineBreak Unemployment is rising. Canadians are tired of talk. When will the government stop spinning the numbers and start taking some real action on job creation?","Mr. Speaker, the member can speak louder, but it is still wrong. There are 600,000 net new jobs, 80% of them full-time jobs in Canada, the best job creation record in the G7.  \lineBreak We anticipate having the strongest growth in the G7 in the next two years. That is what the IMF says and that is what the OECD said, and Moody's has just renewed Canada's top credit rating in the world, triple A."
662,"Mr. Speaker, it is bad enough that the  \lineBreak Could the ","Mr. Speaker, I will not get involved in provincial politics. I will get into trouble at home. \lineBreak  We have had substantial job creation across the country, 600,000 net new jobs, and that includes participation of the people of Ontario."
663,"Mr. Speaker, the simple fact is good manufacturing jobs are being lost and the government refuses to act. Mill closures, boarded-up factories, more and more jobs flying overseas. That is the reality for working families in Ontario. \lineBreak New Democrats have long been calling for action. Now even the Ontario Conservative leader sees it is a problem. When will this out-of-touch government finally take real action and create jobs? Where is the jobs plan?","Mr. Speaker, we are following an expansionary economic policy. If we look now at what we are doing in terms of transfers, they continue to increase. Transfers are very important for the provinces for health, education and social services. That is just the opposite of what was done in the mid-90s by the previous Liberal government that cut transfers unilaterally to the provinces. \lineBreak  We are following an expansionary fiscal policy. We are going to return to a balanced budget. We think that is important, and I am sure the member opposite would agree, looking at the trouble that some other countries in the world have gotten into by accumulating substantial deficits over time and building up large public debt."
